,j0,j1,h0,h1,lr,noise,stim_noise,count_thresh,width_scaling,n_stim,EMD_IDR_STIM,EMD_IDR_UNIFORM,EMD_NDR_STIM,EMD_NDR_UNIFORM,IDR_CORRECT_BIAS_MSE,IDR_INCORRECT_BIAS_MSE,NDR_CORRECT_BIAS_MSE,NDR_INCORRECT_BIAS_MSE
10,0.1,2.0,0.30000000000000004,0.1,0.005,0.0,0.0,0.97,1,300,,,,,,,,
11,0.1,2.0,0.30000000000000004,0.1,0.005,0.0,0.0,0.9,1,300,,,,,,,,
12,0.1,2.0,0.30000000000000004,0.2,0.005,0.0,0.0,0.97,1,300,0.07422272708368712,0.040903893025069624,0.054899853145789664,0.05998619040254926,0.00027879488712862356,0.0002904086722448964,5.914623310254615e-05,0.0005419909575414179
13,0.1,2.0,0.30000000000000004,0.2,0.005,0.0,0.0,0.9,1,300,0.07428400845352252,0.04148642630778641,0.054901186586987595,0.06605529645498454,0.0004010858443093439,0.00038761357849021404,4.602670523293717e-05,0.0008692619156311154
14,0.1,2.0,0.30000000000000004,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.08778069934685273,0.030110489073800706,0.04932167327816557,0.06911076528943133,0.000628871515448274,0.0004452550337314496,6.237710405053084e-05,0.0011962775434032533
15,0.1,2.0,0.30000000000000004,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.08730016360492601,0.031032778218648974,0.050131083829448246,0.06860943702160567,0.0010925728911663907,0.0008375256794356141,4.864293915965143e-05,0.0023165575177967195
16,0.1,2.0,0.30000000000000004,0.4,0.005,0.0,0.0,0.97,1,300,0.07566668465403067,0.04453921619690554,0.03285281931263738,0.08325855879146618,0.0024282559715837456,0.0009558756738455502,9.24018738418663e-05,0.004661833564824768
17,0.1,2.0,0.30000000000000004,0.4,0.005,0.0,0.0,0.9,1,300,0.0750654107769758,0.044726954948092555,0.03610687365668808,0.0803942039368428,0.0024835848203668275,0.001445070308959701,8.397074659239373e-05,0.00569978590802951
18,0.1,2.0,0.30000000000000004,0.5,0.005,0.0,0.0,0.97,1,300,0.05966192662658481,0.055678321919240215,0.03625634986085739,0.08032161079994414,0.004962011101651363,0.00162194609697939,0.00044087800445659174,0.006677673523034222
19,0.1,2.0,0.30000000000000004,0.5,0.005,0.0,0.0,0.9,1,300,0.0578627140546137,0.06357920033121256,0.040721440933450544,0.07634862428082054,0.004282778151133797,0.0012688279696036612,0.00020892076226617837,0.006248346665451827
20,0.1,2.0,0.5,0.1,0.005,0.0,0.0,0.97,1,300,,,,,,,,
21,0.1,2.0,0.5,0.1,0.005,0.0,0.0,0.9,1,300,,,,,,,,
22,0.1,2.0,0.5,0.2,0.005,0.0,0.0,0.97,1,300,,,,,1.1157768185784924e-05,1.1157768185784928e-05,,
23,0.1,2.0,0.5,0.2,0.005,0.0,0.0,0.9,1,300,,,,,1.1327729087156913e-05,1.1327729087156913e-05,,
24,0.1,2.0,0.5,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.07550474258731056,0.0416418191493157,0.05524061037450585,0.059809601465799,0.0001787978045600408,0.00026867346617309723,5.1650044554659856e-05,0.0004027942522456144
25,0.1,2.0,0.5,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.07548046856002454,0.042264256525942234,0.054979308179051084,0.06609269042454141,0.00021953018699753254,0.0003324323300201175,2.922599442302889e-05,0.0006115784520076036
26,0.1,2.0,0.5,0.4,0.005,0.0,0.0,0.97,1,300,0.08001902955874382,0.03548059085625561,0.05689880782888356,0.05780481523758068,0.0004711479572567919,0.000253502338799407,9.356719572351532e-05,0.0006902265468974366
27,0.1,2.0,0.5,0.4,0.005,0.0,0.0,0.9,1,300,0.07993460050604709,0.036118933590108634,0.05628534447352228,0.06458564562213263,0.0006676879132845985,0.00042139504772810546,4.701511207499507e-05,0.0010773944147817816
28,0.1,2.0,0.5,0.5,0.005,0.0,0.0,0.97,1,300,0.08778069934685273,0.030110489073800713,0.04932167327816554,0.06911076528943136,0.0006288715154482742,0.0004452550337314496,6.237710405053094e-05,0.001196277543403254
29,0.1,2.0,0.5,0.5,0.005,0.0,0.0,0.9,1,300,0.08730016360492601,0.031032778218648943,0.05013108382944825,0.06860943702160571,0.00109257289116639,0.0008375256794356129,4.864293915965132e-05,0.002316557517796717
30,0.1,2.3333333333333335,0.1,0.1,0.005,0.0,0.0,0.97,1,300,0.089428787037311,0.029396741305857683,0.05127775447904756,0.06772300644963691,0.0007837741357174533,0.0006702502862416231,0.00012706956368805343,0.0014972917981249544
31,0.1,2.3333333333333335,0.1,0.1,0.005,0.0,0.0,0.9,1,300,0.08898904273682146,0.030199598490294133,0.051932126251751184,0.06736551440171976,0.0010273015104784046,0.000865340503411559,6.463296976113809e-05,0.001995576711398147
32,0.1,2.3333333333333335,0.1,0.2,0.005,0.0,0.0,0.97,1,300,0.05086558561218987,0.06898699258122115,0.03944879764146952,0.07748373799460946,0.008054350666556749,0.001858872823032198,0.0010785679644759198,0.007955297839780434
33,0.1,2.3333333333333335,0.1,0.2,0.005,0.0,0.0,0.9,1,300,0.04901381594659679,0.07022360999144156,0.04410799735055307,0.07349988962231341,0.008501019891636373,0.001599772994393529,0.0008888511412565152,0.008353414707945601
34,0.1,2.3333333333333335,0.1,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.03686704962849206,0.08064737421307008,0.047656716415543574,0.07083507341092658,0.012156800282710883,0.0016451764038791497,0.0023250714091078454,0.007497676319192543
35,0.1,2.3333333333333335,0.1,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.041992080344957154,0.0970646358247413,0.05195440954151384,0.0675668216734503,0.015607805726793387,0.0022455315823132157,0.0027210341700941434,0.010012340396455518
36,0.1,2.3333333333333335,0.1,0.4,0.005,0.0,0.0,0.97,1,300,0.04020317986097913,0.09908760034302573,0.051807055290861125,0.06788362886634244,0.01578185040535343,0.0013410298222171818,0.003405814350025118,0.0080338164586971
37,0.1,2.3333333333333335,0.1,0.4,0.005,0.0,0.0,0.9,1,300,0.03871894146532452,0.1011534530062605,0.0555614390805754,0.06514219895352502,0.018851897677400305,0.0020121209197712124,0.0037299749595064344,0.009781993779546751
38,0.1,2.3333333333333335,0.1,0.5,0.005,0.0,0.0,0.97,1,300,0.038474347645186716,0.10125095882284366,0.0541650336740791,0.06628779452144587,0.016122302988367563,0.0010297005841785208,0.0035752702265722794,0.007076184468522057
39,0.1,2.3333333333333335,0.1,0.5,0.005,0.0,0.0,0.9,1,300,0.03721273498246373,0.10321722188444876,0.05760365578153551,0.06388322727894473,0.019864899641119718,0.0017951158459455854,0.004113420221479768,0.009563605372770912
40,0.1,2.3333333333333335,0.30000000000000004,0.1,0.005,0.0,0.0,0.97,1,300,,,,,,,,
41,0.1,2.3333333333333335,0.30000000000000004,0.1,0.005,0.0,0.0,0.9,1,300,,,,,,,,
42,0.1,2.3333333333333335,0.30000000000000004,0.2,0.005,0.0,0.0,0.97,1,300,0.0770342366521213,0.03863857648771146,0.05666234818359055,0.05835342418760021,0.00044824739330425806,0.00019569753660113098,7.34696093380345e-05,0.0005708175183268841
